Report,Geography,Segment,Variety,Type,Data Year,Timeframe,PLU,Period,Prior Year Week Ending,Current Year Week Ending,Units Prior Year,Units Current Year,Unit Variance,Dollars Prior Year,Dollars Current Year,Dollar Variance,ASP Prior Year,ASP Current Year,ASP Variance,Dollar Sales Velocity Prior Year,Dollar Sales Velocity Current Year,Dollar Sales Velocity Variance
Category,Albany,Avocados,Hass,Conventional,2022,Quarterly,4046,1,2021-04-04,2022-04-03,255783.9182,652379.3328,1.550509576,207251.5111,718068.4983,2.464720206,0.810260131,1.100691671,0.358442344,440.5656542,553.4379988,0.256198693
Category,Albany,Avocados,Hass,Conventional,2022,Quarterly,4225,1,2021-04-04,2022-04-03,1461249.211,814932.1584,-0.442304467,1593051.875,1041136.333,-0.346451708,1.090198621,1.27757424,0.171872918,343.194251,220.5821817,-0.357267259
Category,Albany,Avocados,Hass,Conventional,2022,Quarterly,4770,1,2021-04-04,2022-04-03,1944.045442,8597.540138,3.422499573,1604.648617,7331.75271,3.569070531,0.825417237,0.852773304,0.033142108,0.328550025,2.645366281,7.051639251
Category,Albany,Avocados,Hass,Organic,2022,Quarterly,94046,1,2021-04-04,2022-04-03,3197.274689,3430.953522,0.073086881,9239.339761,10617.97611,0.14921373,2.889754763,3.094759529,0.070941925,4.757799149,5.315635934,0.117246813
Category,Albany,Avocados,Hass,Organic,2022,Quarterly,94225,1,2021-04-04,2022-04-03,4867.85136,5765.7267,0.184450032,10622.37553,12908.70438,0.215237057,2.182148703,2.238868585,0.025992675,2.85785499,3.777245834,0.321706611
Category,Albany,Avocados,Hass,Organic,2022,Quarterly,94770,1,2021-04-04,2022-04-03,54.46076675,39.82827646,-0.268679476,119.8305552,94.74982462,-0.209301631,2.200309734,2.378958695,0.081192642,6.347020215,1.681310508,-0.735102386
Category,Albany,Avocados,Hass,Conventional,2022,Quarterly,Conventional Hass Bags,1,2021-04-04,2022-04-03,385299.1999,359207.9089,-0.067716961,288285.0931,349058.6333,0.210810554,0.748210983,0.9717454,0.298758535,63.54644573,82.52550803,0.298664419
Category,Albany,Avocados,Hass,Organic,2022,Quarterly,Organic Hass Bags,1,2021-04-04,2022-04-03,56264.05257,56108.22047,-0.002769657,67045.5163,81122.23486,0.209957643,1.191622595,1.445817283,0.213318117,27.78093223,33.10467101,0.191632834
Category,Albany,Avocados,Hass,Conventional,2022,Quarterly,Total Conventional Hass,1,2021-04-04,2022-04-03,2104276.375,1835116.94,-0.127910686,2090193.128,2115595.217,0.012152986,0.993307321,1.152839457,0.160607027,427.6277253,427.545703,-0.000191808
Category,Albany,Avocados,Hass,Total Hass,2022,YTD-Q,Total Hass,1,2021-04-04,2022-04-03,2168660.014,1900461.669,-0.123670074,2177220.19,2220338.882,0.01980447,1.003947219,1.16831553,0.163722064,445.3626367,448.8481949,0.007826337
Category,Albany,Avocados,Hass,Total Hass,2022,Quarterly,Total Hass,1,2021-04-04,2022-04-03,2168660.014,1900461.669,-0.123670074,2177220.19,2220338.882,0.01980447,1.003947219,1.16831553,0.163722064,445.3626367,448.8481949,0.007826337
Category,Albany,Avocados,Hass,Organic,2022,Quarterly,Total Organic Hass,1,2021-04-04,2022-04-03,64383.63939,65344.72897,0.014927544,87027.06215,104743.6652,0.203575791,1.351695291,1.602939775,0.185873611,19.77275548,23.41270401,0.184089088
Category,Albany,Total Produce,Total Produce,Total Produce,2022,Quarterly,Total Produce,1,2021-04-04,2022-04-03,97508077.41,90496606.14,-0.071906569,88110747.23,87800354.09,-0.003522761,0.90362511,0.970206042,0.073682029,17877.55154,17627.24945,-0.014000915
Category,Atlanta,Avocados,Hass,Conventional,2022,Quarterly,4046,1,2021-04-04,2022-04-03,7187275.239,7256180.501,0.009587119,5972482.076,8006560.759,0.340575101,0.830980014,1.103412568,0.327844894,265.9874415,335.3262894,0.260684668
Category,Atlanta,Avocados,Hass,Total Hass,2022,YTD-Q,Total Hass,1,2021-04-04,2022-04-03,12596657.97,11717666.8,-0.069779712,11163639.41,13831818.81,0.239006233,0.886238194,1.180424315,0.331949269,489.0853298,573.0695877,0.171716984
Category,Atlanta,Avocados,Hass,Total Hass,2022,Quarterly,Total Hass,1,2021-04-04,2022-04-03,12596657.97,11717666.8,-0.069779712,11163639.41,13831818.81,0.239006233,0.886238194,1.180424315,0.331949269,489.0853298,573.0695877,0.171716984
