Report,Geography,Segment,Variety,Timeframe,Period,PLU,Prior Year Week Ending,Current Year Week Ending,Units Current Year,Unit Variance,Dollars Current Year,Dollar Variance,Unit Share Current Year,Dollar Share Current Year
Category,Total U.S.,Avocados,Hass,Last 04 Wks,1,4046,2023/01/29,2024/01/28,94467466.27,0.113909244,81889363.51,0.110242841,0.472933784,0.399377386
Category,Total U.S.,Avocados,Hass,Last 04 Wks,1,4225,2023/01/29,2024/01/28,34210346.44,-0.128831009,49280068.49,-0.06333332,0.171267731,0.240340675
Category,Total U.S.,Avocados,Hass,Last 04 Wks,1,4770,2023/01/29,2024/01/28,2808016.824,-0.506137614,6946957.352,-0.334710942,0.014057813,0.033880562
Category,Total U.S.,Avocados,Other,Last 04 Wks,1,All Other,2023/01/29,2024/01/28,3891221.003,0.095247104,8837008.832,0.1472844,0.019480674,0.043098411
Category,Total U.S.,Avocados,All,Last 04 Wks,1,Organic,2023/01/29,2024/01/28,11204105.38,0.055830999,14844540.26,0.050755684,0.056091268,0.072397359
Category,Total U.S.,Avocados,All,Last 04 Wks,1,Bags,2023/01/29,2024/01/28,53166608.99,0.112075837,43244626.39,0.156913041,0.26616873,0.210905606
Category,Total U.S.,Avocados,Hass,Last 04 Wks,2,4046,2023/02/26,2024/02/25,103736382.9,0.169653091,90086977.15,0.225906664,0.519336889,0.439357444
Category,Total U.S.,Avocados,Hass,Last 04 Wks,2,4225,2023/02/26,2024/02/25,35976643.29,-0.175110129,49650086.53,-0.136109035,0.180110367,0.242145267
Category,Total U.S.,Avocados,Hass,Last 04 Wks,2,4770,2023/02/26,2024/02/25,3263633.649,-0.551816022,7475943.033,-0.356217903,0.016338774,0.036460444
Category,Total U.S.,Avocados,Other,Last 04 Wks,2,All Other,2023/02/26,2024/02/25,3379256.22,-0.074078787,7734006.351,-0.003222636,0.016917617,0.037719029
Category,Total U.S.,Avocados,All,Last 04 Wks,2,Organic,2023/02/26,2024/02/25,11524259.84,0.209881447,15014393.8,0.18026226,0.057694062,0.073225741
Category,Total U.S.,Avocados,All,Last 04 Wks,2,Bags,2023/02/26,2024/02/25,55982506.76,0.110133829,46074155.35,0.212996189,0.280265998,0.224705321
Category,Total U.S.,Avocados,Hass,Last 04 Wks,3,4046,2023/03/26,2024/03/24,95974132.17,0.1391,90360571.75,0.2829,0.4654,0.4151
Category,Total U.S.,Avocados,Hass,Last 04 Wks,3,4225,2023/03/26,2024/03/24,33228912.54,-0.167,49606297.71,-0.0518,0.1611,0.2279
Category,Total U.S.,Avocados,Hass,Last 04 Wks,3,4770,2023/03/26,2024/03/24,3247395.659,-0.458,7283271.901,-0.3255,0.0157,0.0335
Category,Total U.S.,Avocados,Other,Last 04 Wks,3,All Other,2023/03/26,2024/03/24,3176526.165,-0.1182,7557696.471,-0.0413,0.0154,0.0347
Category,Total U.S.,Avocados,All,Last 04 Wks,3,Organic,2023/03/26,2024/03/24,11767435.31,0.2219,15266131.1,0.1976,0.0571,0.0701
Category,Total U.S.,Avocados,All,Last 04 Wks,3,Bags,2023/03/26,2024/03/24,58836270.17,0.0577,47587232.09,0.1623,0.2853,0.2186
Category,Total U.S.,Avocados,Hass,Last 04 Wks,4,4046,2023/04/23,2024/04/21,92545020.79,0.11078,93692558.78,0.31484,0.45674,0.40343
Category,Total U.S.,Avocados,Hass,Last 04 Wks,4,4225,2023/04/23,2024/04/21,33261285.7,-0.20785,54761988.34,-0.00295,0.16416,0.2358
